ID,JD,YYYYMMDD,Time,Shock_Type,V_Multi,V_Multi_STD,V_multi_Nx,V_multi_Nx_std,V_multi_NY,V_multi_NY_std,V_multi_NZ,V_multi_NZ_std,V_multi_phi,V_multi_phi_std,V_multi_theta,V_multi_theta_std,V_Single,V_Single_STDDEV,V_Single_Error,Compress,Compress_Error,Theta_BN,Theta_BN_Error,Norm_Theta,Norm_Theta_Error,Phi,Phi_Error,Wind_X,Wind_Y,Wind_Z,Stereo_Tshift,Stereo_X,Stereo_Y,Stereo_Z,Notes
"692",2457195.169565973,"20150621",1604,1,310.497,2.54015,-0.744003,0.00694109,-0.581872,0.0200057,-0.326176,0.0323517,38.0182,1.09068,23.6414,2.10422,342.1836928707124,5.241054511226487,3.847413800041118,2.435386308891702,0.07433135071940837,88.14269409848158,7.334284663468669,-23.36879920959473,0.4015908241271973,218.6072387695312,0.5789624452590942,1296754.864603874,-241399.9657264533,-67640.12489568308,NaN,NaN,NaN,NaN,"Event automatically added to database"
"693",2457196.255746529,"20150622",1808,1,744.793,14.5393,-0.921961,0.0119174,-0.361761,0.0437383,-0.102870,0.0805498,21.4065,2.56747,47.6956,112.067,788.1791400112842,35.86705052655233,16.20741456058772,3.348232404045049,0.2160745910557656,63.82297305105482,4.951518606583912,-6.093153953552246,0.6912779211997986,188.5236816406250,0.9679960012435913,1294798.169086109,-217239.6801360065,-70374.78348586604,NaN,NaN,NaN,NaN,"Event automatically added to database"
"696",2457249.821996528,"20150815",743,1,545.765,41.6704,-0.784491,0.183593,-0.0749311,0.0115173,0.529389,0.254883,6.01778,2.51381,323.418,32.5146,477.4186855272372,20.11833697295272,11.45164551439541,2.308939264774103,0.6237539178395611,56.80329805927398,0.7848813967100792,28.35025596618652,1.093420624732971,186.5181121826172,0.7558762431144714,1430246.396819493,647971.9551231475,-19518.97441402143,NaN,NaN,NaN,NaN,"Event automatically added to database"
"698",2457316.913142362,"20151021",954,0,223.314,9.94044,-0.743722,0.0243164,-0.382264,0.00758867,-0.546708,0.0348363,27.2183,0.793113,36.3165,2.62823,372.1061777870952,1.921820958687225,6.016762272955035,0.1976111563876521,0.01803785183219136,89.99871755238401,6.725950082716706,5.449708938598633,1.366731047630310,196.5459594726562,1.299505114555359,1588136.921134673,-412764.4426891492,103653.6346853734,NaN,NaN,NaN,NaN,"Event automatically added to database"
"699",2457320.251351401,"20151024",1801,0,446.066,29.8478,-0.649871,0.0646285,0.722571,0.0743952,-0.169822,0.130517,312.042,5.62564,53.4081,106.342,496.9077774295581,9.288733997458616,12.95030774465350,2.897904454863963,0.4306934586829143,76.34004024409602,26.04725848452715,-3.523189067840576,1.247882366180420,169.4707489013672,2.336289882659912,1561908.934753404,-467465.6647249488,99144.56230990535,NaN,NaN,NaN,NaN,"Event automatically added to database"
"705",2457376.151649306,"20151219",1538,1,526.288,7.21158,-0.996704,0.00314429,-0.0463909,0.0316521,0.0178108,0.0557046,31.1063,96.2281,216.413,173.506,539.7267068563137,18.29488871274671,16.14324817759901,3.089516057699905,0.2008611352398420,61.45293308158473,5.125342258876001,-2.882007837295532,1.386110901832581,184.5125274658203,1.091485142707825,1244179.617030911,-180714.0932085012,-65255.15818642313,NaN,NaN,NaN,NaN,"Event automatically added to database"
"706",2457387.512447917,"20151231",17,1,381.435,8.52266,-0.644026,0.0335763,-0.0513413,0.0152539,-0.761820,0.0294337,4.50901,1.15863,49.7878,2.56295,290.4504156343191,6.393632411699429,3.932024625421484,2.562696346071171,0.6285206113097208,84.25771450273740,5.407413033028896,25.47819328308105,1.100369572639465,211.5877380371094,0.8187702894210815,1239617.766590203,85561.67152782997,-83542.95146402717,NaN,NaN,NaN,NaN,"Event automatically added to database"
"708",2457432.129427084,"20160213",1506,3,181.203,103.921,0.130028,0.544398,-0.0987988,0.0376216,0.755534,0.324221,144.001,82.1395,240.279,70.4021,309.1941581108104,11.26433459252624,5.604339908242348,0.6484928767788932,0.02370202445729530,74.77837875155703,3.756451994530211,13.89972591400146,1.016720890998840,186.5181121826172,0.8010328412055969,1440564.179161496,626377.6882177854,5.155617835378507,NaN,NaN,NaN,NaN,"Event automatically added to database"
"709",2457458.686961806,"20160311",429,1,336.659,4.55506,-0.922229,0.00783741,0.379649,0.0243485,0.0492577,0.0477705,337.628,1.46185,295.051,133.971,363.0954174507184,8.429186565900721,4.068016614606613,2.195240058868804,0.1471062434966513,53.07522849659645,4.168632557592201,-1.600647926330566,1.613197088241577,172.4791107177734,1.610712885856628,1633606.340878407,265383.2701094822,75308.39197355490,NaN,NaN,NaN,NaN,"Event automatically added to database"
"716",2457589.459774306,"20160719",2302,1,446.922,14.9651,-0.938105,0.0172870,-0.190730,0.00683474,0.282032,0.0608063,11.4914,0.324975,343.271,3.69243,508.1600371080262,15.68333953528354,20.54246440233065,2.648401181957689,0.2857919103462638,72.77424887817685,6.840167897385959,8.675494194030762,0.6876793503761292,183.5097503662109,0.7090743184089661,1333643.325819340,555748.3498772582,-61882.28207652888,NaN,NaN,NaN,NaN,"Event automatically added to database"
